attributeName,attributeDefinition,measurementScale,domain,formatString,definition,unit,numberType,missingValueCode,missingValueCodeExplanation
BLCslope,slope as function of area,,numericDomain,,slope as function of area; from LICOR 6400XT,number,,,
BLCoffst,offset as function of area,,numericDomain,,offset as function of area; from LICOR 6400XT,number,,,
f_parin,Fraction of ParIn_?m to use for Energy Balance,,numericDomain,,Fraction of ParIn_?m to use for Energy Balance; from LICOR 6400XT,number,,,
f_parout,Fraction of ParOut_?m to use for Energy Balance,,numericDomain,,Fraction of ParOut_?m to use for Energy Balance; from LICOR 6400XT,number,,,
alphaK,Used in the conversion of ?mol mol-1 to W m-2,,numericDomain,,Used in the conversion of ?mol mol-1 to W m-2; from LICOR 6400XT,number,,,
Status,Program Status,,numericDomain,,Program status; from LICOR 6400XT,number,,,
fda,flow/area with units conversion,,numericDomain,,flow/area with units conversion; from LICOR 6400XT,number,,,
Trans,Transpiration,,numericDomain,,Transpiration (mol/m2/s); from LICOR 6400XT,mol/m2/s,,,
Tair_K,Air temperature in K,,numericDomain,,Air temperature in K; from LICOR 6400XT,Kelvin,,,
Twall_K,Twall temperature in K,,numericDomain,,Twall temperature in K; from LICOR 6400XT,Kelvin,,,
R(W/m2),incoming radiation,,numericDomain,,incoming radiation; from LICOR 6400XT,W/M2,,,
Tl-Ta,energy balance delta t,,numericDomain,,energy balance delta t; from LICOR 6400XT,number,,,
SVTleaf,SatVap(Tleaf),,numericDomain,,SatVap(Tleaf); from LICOR 6400XT,number,,,
h2o_i,intervellular h2o,,numericDomain,,; from LICOR 6400XT,number,,,
h20diff,diff,,numericDomain,,; from LICOR 6400XT,number,,,
CTair,computed chamber air temperature,,numericDomain,,computed chamber air temperature degrees C; from LICOR 6400XT,Celsius,,,
SVTair,SatVap(Tair),,numericDomain,,; from LICOR 6400XT,number,,,
CndTotal,Total conductance,,numericDomain,,total conductance; from LICOR 6400XT,number,,,
vp_kPa,vapor pressure chamber air,,numericDomain,,vapor pressure chamber air (kPa); from LICOR 6400XT,kilopascal,,,
VpdA,Air VPD ,,numericDomain,,Air VPD (SatVap(Tair) - eair); from LICOR 6400XT,number,,,
CndCO2,Total conductance to CO2,,numericDomain,,Total conductance to CO2; from LICOR 6400XT,number,,,
Ci_Pa,Intercellular CO2 (Pa),,numericDomain,,Intercellular CO2 (Pa); from LICOR 6400XT,pascal,,,
Ci/Ca,Intercellular CO2 / Ambient CO2,,numericDomain,,Intercellular CO2/Ambient CO2; from LICOR 6400XT,number,,,
RHsfc,Surface Humidity (%),,numericDomain,,Surface Humidity (%); from LICOR 6400XT,number,,,
C2sfc,Surface CO2,,numericDomain,,Surface CO2 (?mol/mol); from LICOR 6400XT,?mol/mol,,,
AHs/Cs,Bell-Berry parameter,,numericDomain,,Bell-Berry parameter; from LICOR 6400XT,number,,,
Fv,variable fluorescence,,numericDomain,,variable fluorescence; from LICOR 6400XT,number,,,
PARabs,Absorbed PAR,,numericDomain,,Absorbed PAR (ParIn_?m * LeafAbs); from LICOR 6400XT,number,,,
Fv',variable fluorescence (light),,numericDomain,,variable fluorescence (light); from LICOR 6400XT,number,,,
qP_Fo,(Fm’-Fs)/(Fm’-Fo),,numericDomain,,(Fm’-Fs)/(Fm’-Fo); from LICOR 6400XT,number,,,
qN_Fo,(Fm-Fm’)/(Fm-Fo),,numericDomain,,(Fm-Fm’)/(Fm-Fo); from LICOR 6400XT,number,,,
